PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P214
Station name, CorralitosCN2007
Begin Date, 2007-09-19
End Date, 2017-03-20
Release Date, 2017-03-22
Source file, P214.pbo.igs08.pos
Offset from source file, 84.80 mm North, -111.12 mm East, -7.41 mm Vertical
Reference position, 37.0010206703 North Latitude, -121.7965693295 East Longitude, 73.27046 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2010-04-06,50.93, -88.31, -10.96, 2.17, 1.84, 10.5, repro,
2010-04-07,50.63, -87.76, -10.93, 2.12, 1.78, 10.45, repro,
2010-04-08,50.57, -87.59, -5.20, 2.14, 1.82, 10.44, repro,
2010-04-09,51.31, -86.73, -18.47, 2.25, 1.83, 10.98, repro,
2010-04-10,50.37, -88.33, -4.46, 2.03, 1.7, 10.06, repro,
2010-04-11,50.81, -88.97, -22.29, 2.69, 2.27, 13.18, repro,
2010-04-12,49.57, -90.43, -6.02, 2.18, 1.86, 10.82, repro,
2010-04-13,49.65, -88.90, -11.25, 2.05, 1.77, 10.28, repro,
2010-04-14,50.62, -87.55, -14.89, 2.14, 1.86, 10.73, repro,
2010-04-15,50.30, -88.69, -12.20, 2.62, 2.2, 12.72, repro,
2010-04-16,49.26, -89.05, -15.13, 2.57, 2.19, 12.51, repro,
2010-04-17,50.60, -88.98, -12.69, 2.47, 2.14, 12.03, repro,
2010-04-18,48.66, -90.03, -8.41, 2.47, 2.09, 12.03, repro,
2010-04-19,48.39, -89.07, -6.60, 2.55, 2.23, 12.45, repro,
2010-04-20,50.72, -91.20, -12.62, 2.68, 2.24, 13.01, repro,
2010-04-21,50.08, -90.56, -8.62, 2.55, 2.18, 12.46, repro,
2010-04-22,48.56, -90.68, -10.04, 2.46, 2.16, 12.19, repro,
2010-04-23,50.07, -89.26, -3.45, 2.56, 2.24, 12.31, repro,
2010-04-24,50.43, -89.61, 1.00, 2.49, 2.13, 12.04, repro,
2010-04-25,51.10, -87.70, -11.06, 2.54, 2.15, 12.33, repro,
2010-04-26,51.01, -88.18, -20.09, 2.81, 2.38, 13.85, repro,
2010-04-27,51.03, -89.71, -1.45, 2.79, 2.29, 13.49, repro,
2010-04-28,51.96, -89.86, -19.37, 2.58, 2.19, 12.6, repro,
2010-04-29,51.06, -90.57, -11.77, 2.64, 2.24, 12.95, repro,
2010-04-30,49.21, -92.14, -6.92, 2.72, 2.25, 13.18, repro,
2010-05-01,51.66, -90.65, -8.57, 2.5, 2.07, 12.11, repro,
2010-05-02,49.94, -91.83, -2.41, 2.7, 2.3, 12.95, repro,
2010-05-03,50.49, -90.15, -3.21, 2.57, 2.22, 12.65, repro,
2010-05-04,51.16, -87.98, -17.03, 2.68, 2.26, 13.09, repro,
2010-05-05,51.08, -88.36, -12.46, 2.52, 2.1, 12.33, repro,
2010-05-06,51.14, -88.61, -16.72, 2.49, 2.04, 12.11, repro,
2010-05-07,51.68, -88.40, -14.22, 2.65, 2.13, 12.73, repro,
2010-05-08,51.76, -86.94, -19.28, 2.9, 2.51, 14.13, repro,
2010-05-09,50.49, -90.68, -4.25, 2.6, 2.14, 12.47, repro,
2010-05-10,51.67, -89.42, -13.28, 2.7, 2.27, 13.17, repro,
2010-05-11,53.28, -90.60, -10.44, 2.55, 2.18, 12.58, repro,
2010-05-12,49.87, -90.22, -8.53, 2.63, 2.18, 12.83, repro,
2010-05-13,51.50, -90.03, -3.28, 2.54, 2.13, 12.25, repro,
2010-05-14,51.69, -89.61, -9.70, 2.76, 2.34, 12.97, repro,
2010-05-15,51.29, -90.03, -6.76, 2.6, 2.24, 12.63, repro,
2010-05-16,53.01, -91.89, -3.34, 2.56, 2.24, 12.29, repro,
2010-05-17,51.94, -92.87, -3.94, 2.67, 2.33, 12.92, repro,
2010-05-18,52.48, -91.33, -0.78, 2.55, 2.17, 12.5, repro,
2010-05-19,53.31, -91.74, -6.16, 2.71, 2.27, 13.17, repro,
2010-05-20,52.70, -88.95, -10.16, 2.84, 2.35, 13.64, repro,
2010-05-21,53.30, -92.20, -5.40, 2.65, 2.29, 12.99, repro,
2010-05-22,52.97, -93.82, -0.74, 2.57, 2.23, 12.62, repro,
2010-05-23,52.11, -89.51, -0.92, 2.55, 2.22, 12.42, repro,
2010-05-24,55.92, -90.65, -18.48, 2.59, 2.22, 12.6, repro,
2010-05-25,53.07, -92.13, -13.87, 2.6, 2.21, 12.74, repro,
2010-05-26,52.65, -94.31, 8.61, 2.59, 2.23, 12.8, repro,
2010-05-27,52.89, -91.51, -3.28, 2.63, 2.26, 12.86, repro,
2010-05-28,54.09, -90.91, -17.14, 2.6, 2.21, 12.58, repro,
2010-05-29,52.50, -92.49, -18.01, 2.81, 2.57, 13.77, repro,
2010-05-30,54.66, -90.74, -22.44, 2.62, 2.27, 12.77, repro,
2010-05-31,53.63, -91.81, -18.92, 2.72, 2.37, 13.41, repro,
2010-06-01,53.26, -92.66, -9.95, 2.65, 2.31, 13.06, repro,
2010-06-02,53.04, -91.36, -4.21, 2.66, 2.31, 13.03, repro,
2010-06-03,53.96, -92.91, -11.89, 2.6, 2.26, 12.87, repro,
2010-06-04,52.93, -94.42, -6.93, 2.62, 2.21, 12.81, repro,
2010-06-05,53.77, -91.89, -3.21, 2.73, 2.41, 13.56, repro,
2010-06-06,54.15, -90.91, -11.70, 2.64, 2.33, 12.95, repro,
2010-06-07,54.41, -92.30, -6.14, 2.75, 2.4, 13.62, repro,
2010-06-08,55.51, -92.09, -11.42, 2.62, 2.28, 12.99, repro,
2010-06-09,53.69, -93.13, -5.88, 2.59, 2.27, 12.73, repro,
2010-06-10,52.57, -92.63, 6.09, 2.63, 2.3, 12.94, repro,
2010-06-11,51.19, -95.70, -4.66, 2.49, 2.2, 12.32, repro,
2010-06-12,60.13, -92.75, -10.72, 2.67, 2.35, 13.11, repro,
2010-06-13,54.50, -92.27, -13.00, 2.56, 2.28, 12.72, repro,
2010-06-14,52.02, -93.68, -7.60, 2.37, 2.16, 11.93, repro,
2010-06-15,52.23, -94.99, -0.30, 2.56, 2.29, 12.83, repro,
2010-06-16,52.42, -94.62, -0.77, 2.48, 2.24, 12.44, repro,
2010-06-17,53.89, -95.10, 0.26, 2.46, 2.2, 12.12, repro,
2010-06-18,54.81, -95.91, -2.78, 2.58, 2.31, 12.74, repro,
2010-06-19,52.32, -94.90, -13.92, 2.65, 2.33, 13.1, repro,
2010-06-20,54.05, -95.38, -9.39, 2.41, 2.16, 12.06, repro,
2010-06-21,53.16, -95.64, 0.80, 2.42, 2.22, 12.15, repro,
2010-06-22,53.84, -96.25, -5.83, 1.89, 1.76, 9.66, repro,
2010-06-23,54.07, -94.99, -9.95, 2.42, 2.19, 12.12, repro,
2010-06-24,53.78, -97.74, -8.30, 2.42, 2.25, 12.18, repro,
2010-06-25,52.87, -95.65, -1.77, 2.04, 1.93, 10.43, repro,
2010-06-26,54.08, -95.73, -2.84, 2.11, 1.96, 10.75, repro,
2010-06-27,53.84, -96.03, -8.04, 2.04, 1.9, 10.38, repro,
2010-06-28,54.29, -97.20, -3.96, 1.99, 1.89, 10.28, repro,
2010-06-29,55.54, -96.06, -7.60, 2.12, 1.94, 10.69, repro,
2010-06-30,54.68, -96.84, -7.07, 2.23, 2.05, 11.51, repro,
2010-07-01,54.11, -98.66, -4.63, 1.87, 1.81, 9.84, repro,
2010-07-02,54.12, -97.29, -5.07, 2.04, 1.9, 10.56, repro,
2010-07-03,54.93, -96.39, -10.31, 2.51, 2.33, 12.83, repro,
2010-07-04,56.76, -94.45, -20.67, 2.55, 2.4, 12.85, repro,
2010-07-05,54.42, -97.20, -6.34, 2.48, 2.28, 12.43, repro,
2010-07-06,54.33, -97.53, -3.88, 2.47, 2.29, 12.4, repro,
2010-07-07,54.50, -98.20, -1.77, 2.4, 2.22, 12.02, repro,
2010-07-08,53.27, -97.21, -7.51, 2.46, 2.28, 12.32, repro,
2010-07-09,55.25, -96.71, -19.70, 2.74, 2.54, 13.68, repro,
2010-07-10,55.58, -96.98, -8.59, 2.33, 2.15, 11.57, repro,
2010-07-11,55.60, -98.46, -3.86, 2.51, 2.35, 12.59, repro,
2010-07-12,55.68, -97.88, -5.96, 2.39, 2.23, 11.91, repro,
2010-07-13,56.69, -97.53, -11.57, 2.47, 2.21, 12.09, repro,
2010-07-14,56.28, -98.63, -16.78, 2.75, 2.5, 13.35, repro,
2010-07-15,56.29, -97.28, -21.66, 2.61, 2.44, 12.89, repro,
2010-07-16,56.21, -98.18, -16.34, 2.33, 2.18, 11.64, repro,
2010-07-17,54.58, -99.62, -14.02, 2.55, 2.4, 12.77, repro,
2010-07-18,54.82, -99.35, -12.34, 2.4, 2.27, 11.82, repro,
2010-07-19,56.38, -98.59, -15.21, 2.45, 2.29, 12.02, repro,
2010-07-20,55.97, -99.34, -13.77, 2.3, 2.17, 11.32, repro,
2010-07-21,56.14, -98.49, -11.54, 2.39, 2.25, 11.87, repro,
2010-07-22,55.78, -100.44, -14.82, 2.3, 2.19, 11.43, repro,
2010-07-23,55.38, -99.60, -8.22, 2.44, 2.3, 12.15, repro,
2010-07-24,56.28, -99.98, -11.79, 2.37, 2.23, 11.63, repro,
2010-07-25,56.36, -99.77, -15.73, 2.31, 2.14, 11.49, repro,
2010-07-26,56.62, -99.18, -17.32, 2.55, 2.33, 12.43, repro,
2010-07-27,57.82, -99.61, -16.90, 2.44, 2.25, 11.79, repro,
2010-07-28,57.23, -99.98, -17.54, 2.43, 2.25, 11.89, repro,
2010-07-29,55.11, -98.76, -15.55, 2.44, 2.36, 12.11, repro,
2010-07-30,54.68, -99.86, -8.98, 2.42, 2.28, 11.89, repro,
2010-07-31,56.19, -100.07, -11.09, 2.38, 2.18, 11.64, repro,
2010-08-01,57.15, -99.58, -19.30, 2.44, 2.24, 11.96, repro,
2010-08-02,55.35, -100.32, -18.61, 2.46, 2.27, 12.1, repro,
2010-08-03,56.50, -99.80, -10.82, 2.54, 2.38, 12.54, repro,
2010-08-04,56.77, -101.01, -14.09, 2.51, 2.34, 12.38, repro,
2010-08-05,56.13, -100.79, -12.64, 2.48, 2.25, 12.19, repro,
2010-08-06,56.24, -101.33, -7.04, 2.49, 2.27, 12.2, repro,
2010-08-07,56.62, -100.27, -7.62, 2.43, 2.19, 11.91, repro,
2010-08-08,56.45, -101.81, -1.89, 2.46, 2.24, 12.14, repro,
2010-08-09,57.11, -102.02, -5.14, 2.47, 2.26, 12.16, repro,
2010-08-10,57.96, -99.75, -18.11, 2.6, 2.41, 12.85, repro,
2010-08-11,56.65, -101.69, -12.85, 2.38, 2.19, 11.68, repro,
2010-08-12,56.32, -100.01, -11.67, 2.39, 2.19, 11.71, repro,
2010-08-13,56.17, -101.78, -5.60, 2.32, 2.15, 11.42, repro,
2010-08-14,56.12, -103.20, -2.10, 2.47, 2.33, 12.19, repro,
2010-08-15,56.93, -101.26, -9.27, 2.55, 2.33, 12.41, repro,
2010-08-16,56.87, -101.54, -11.39, 2.45, 2.28, 12.06, repro,
2010-08-17,56.22, -100.75, -10.66, 2.42, 2.24, 11.93, repro,
2010-08-18,57.11, -102.72, -10.59, 2.54, 2.32, 12.33, repro,
2010-08-19,55.31, -102.65, -8.14, 2.48, 2.29, 12.27, repro,
2010-08-20,56.27, -103.11, -0.56, 2.37, 2.2, 11.68, repro,
2010-08-21,58.42, -101.13, -14.07, 2.62, 2.4, 12.83, repro,
2010-08-22,57.47, -101.10, -15.60, 2.49, 2.3, 12.33, repro,
2010-08-23,56.73, -102.22, -10.48, 2.38, 2.2, 11.67, repro,
2010-08-24,56.56, -103.21, -3.55, 2.54, 2.28, 12.23, repro,
2010-08-25,56.59, -103.93, -8.59, 2.38, 2.22, 11.72, repro,
2010-08-26,56.87, -104.75, -6.03, 2.42, 2.23, 11.98, repro,
2010-08-27,57.35, -103.76, -15.35, 2.51, 2.34, 12.41, repro,
2010-08-28,56.87, -104.46, -5.89, 2.53, 2.33, 12.29, repro,
2010-08-29,55.63, -104.71, -0.87, 2.35, 2.2, 11.68, repro,
2010-08-30,56.70, -103.65, -0.18, 2.38, 2.21, 11.72, repro,
2010-08-31,57.51, -102.67, -8.22, 2.4, 2.23, 11.87, repro,
2010-09-01,58.21, -103.75, -7.41, 2.31, 2.16, 11.57, repro,
2010-09-02,55.75, -104.91, 0.32, 2.28, 2.16, 11.54, repro,
2010-09-03,57.19, -103.79, -10.97, 2.26, 2.13, 11.36, repro,
2010-09-04,57.82, -104.36, -8.69, 2.3, 2.1, 11.4, repro,
2010-09-05,56.85, -104.49, -1.86, 2.26, 2.09, 11.1, repro,
2010-09-06,57.10, -103.54, -9.43, 2.32, 2.15, 11.44, repro,
2010-09-07,57.16, -104.24, -10.64, 2.36, 2.22, 11.85, repro,
2010-09-08,56.48, -104.21, -3.53, 2.43, 2.24, 11.97, repro,
2010-09-09,58.48, -103.46, -6.62, 2.36, 2.18, 11.51, repro,
2010-09-10,57.83, -104.32, -5.95, 2.42, 2.22, 11.81, repro,
2010-09-11,56.38, -104.79, -10.01, 2.29, 2.16, 11.12, repro,
2010-09-12,58.91, -103.68, -4.77, 2.26, 2.13, 11.17, repro,
2010-09-13,58.71, -103.46, -23.60, 2.39, 2.2, 11.58, repro,
2010-09-14,57.28, -104.85, -13.98, 2.34, 2.15, 11.34, repro,
2010-09-15,58.94, -103.83, -14.72, 2.52, 2.29, 12.12, repro,
2010-09-16,59.12, -104.02, -12.79, 2.49, 2.26, 11.98, repro,
2010-09-17,59.35, -103.46, -18.12, 2.53, 2.3, 12.25, repro,
2010-09-18,58.23, -105.07, -10.37, 2.32, 2.12, 11.4, repro,
2010-09-19,59.22, -104.12, -14.54, 2.61, 2.33, 12.46, repro,
2010-09-20,58.09, -104.31, -1.63, 2.39, 2.16, 11.71, repro,
2010-09-21,58.51, -104.79, -5.02, 2.47, 2.23, 11.96, repro,
2010-09-22,59.91, -103.71, -13.89, 2.54, 2.28, 12.22, repro,
2010-09-23,60.89, -105.41, -16.67, 2.66, 2.34, 12.8, repro,
2010-09-24,59.68, -104.59, -22.07, 2.45, 2.2, 11.92, repro,
2010-09-25,58.83, -106.86, -9.79, 2.33, 2.14, 11.48, repro,
2010-09-26,58.74, -105.26, -9.49, 2.33, 2.14, 11.45, repro,
2010-09-27,60.86, -106.19, -10.92, 2.49, 2.25, 12.05, repro,
2010-09-28,60.84, -105.13, -15.74, 2.53, 2.31, 12.28, repro,
2010-09-29,60.48, -104.33, -9.60, 2.53, 2.29, 12.32, repro,
2010-09-30,59.01, -106.66, 3.51, 2.42, 2.21, 11.95, repro,
2010-10-01,59.55, -105.09, -10.09, 2.38, 2.16, 11.68, repro,
2010-10-02,59.99, -105.93, -10.19, 2.45, 2.16, 11.87, repro,
2010-10-03,60.17, -105.22, -13.59, 2.51, 2.26, 12.36, repro,
2010-10-04,60.27, -104.68, -17.35, 2.55, 2.27, 12.34, repro,
2010-10-05,59.51, -106.21, -4.35, 2.44, 2.2, 11.92, repro,
2010-10-06,58.84, -106.91, -9.43, 2.41, 2.14, 11.68, repro,
2010-10-07,60.02, -106.12, -13.81, 2.36, 2.12, 11.51, repro,
2010-10-08,59.79, -106.94, -11.51, 2.37, 2.13, 11.62, repro,
2010-10-09,60.62, -106.70, -13.30, 2.39, 2.15, 11.7, repro,
2010-10-10,60.81, -106.89, -1.74, 2.36, 2.14, 11.48, repro,
2010-10-11,60.77, -105.43, -5.21, 2.37, 2.1, 11.38, repro,
2010-10-12,60.02, -107.28, -14.57, 2.36, 2.1, 11.52, repro,
2010-10-13,60.45, -106.16, -12.63, 2.35, 2.07, 11.36, repro,
2010-10-14,60.87, -107.43, -5.65, 2.31, 2.1, 11.46, repro,
2010-10-15,61.61, -106.21, -13.03, 2.51, 2.22, 12.18, repro,
2010-10-16,59.03, -106.57, -7.57, 2.47, 2.18, 12.04, repro,
2010-10-17,60.13, -107.75, -4.99, 2.42, 2.17, 11.8, repro,
2010-10-18,59.95, -109.39, -15.02, 2.37, 2.16, 11.77, repro,
2010-10-19,60.26, -107.56, -10.12, 2.38, 2.14, 11.65, repro,
2010-10-20,60.32, -106.67, -9.44, 2.42, 2.15, 11.8, repro,
2010-10-21,61.03, -109.76, -5.15, 2.36, 2.11, 11.37, repro,
2010-10-22,59.79, -107.54, -10.40, 2.44, 2.19, 11.79, repro,
2010-10-23,61.03, -108.57, -6.14, 2.48, 2.24, 12.13, repro,
2010-10-24,59.45, -111.88, -3.31, 2.44, 2.25, 12.1, repro,
2010-10-25,61.07, -108.62, 6.34, 2.49, 2.24, 12.25, repro,
2010-10-26,60.31, -109.82, -4.10, 2.48, 2.23, 12.19, repro,
2010-10-27,60.31, -108.38, -15.06, 2.41, 2.15, 11.69, repro,
2010-10-28,61.53, -110.41, -8.63, 1.93, 1.74, 9.61, repro,
2010-10-29,62.79, -109.34, -15.51, 2.11, 1.89, 10.42, repro,
2010-10-30,61.31, -109.08, -17.26, 2.69, 2.44, 13.62, repro,
2010-10-31,60.71, -110.24, -13.00, 2.42, 2.26, 12.05, repro,
2010-11-01,60.57, -109.48, -23.27, 1.94, 1.81, 9.84, repro,
2010-11-02,62.36, -108.51, -26.87, 2.35, 2.11, 11.57, repro,
2010-11-03,61.37, -108.92, -19.85, 2.33, 2.08, 11.46, repro,
2010-11-04,61.51, -108.97, -22.87, 2.37, 2.15, 11.68, repro,
2010-11-05,60.54, -108.96, -14.60, 2.34, 2.12, 11.55, repro,
2010-11-06,60.98, -109.13, -14.95, 2.38, 2.16, 11.74, repro,
2010-11-07,61.96, -110.33, -21.35, 2.36, 2.12, 11.69, repro,
2010-11-08,59.95, -108.39, -14.15, 2.42, 2.21, 12.12, repro,
2010-11-09,61.27, -110.44, -16.03, 2.37, 2.15, 11.81, repro,
2010-11-10,60.07, -109.97, -15.88, 2.41, 2.17, 11.94, repro,
2010-11-11,58.45, -110.48, -22.86, 2.42, 2.18, 11.9, repro,
2010-11-12,62.76, -108.29, -28.10, 2.39, 2.15, 11.74, repro,
2010-11-13,60.26, -112.46, -20.68, 2.37, 2.13, 11.5, repro,
2010-11-14,60.22, -106.63, -34.54, 2.67, 2.36, 12.94, repro,
2010-11-15,67.04, -108.92, -11.90, 2.57, 2.27, 12.51, repro,
2010-11-16,59.07, -111.95, -13.62, 2.51, 2.19, 12.26, repro,
2010-11-17,61.61, -110.21, -22.01, 2.56, 2.19, 12.44, repro,
2010-11-18,62.79, -111.02, -14.47, 2.51, 2.21, 12.25, repro,
2010-11-19,62.24, -109.45, -15.16, 2.55, 2.19, 12.2, repro,
2010-11-20,63.50, -112.96, -21.06, 2.8, 2.33, 13.45, repro,
2010-11-21,61.44, -113.61, -12.89, 2.82, 2.4, 13.7, repro,
2010-11-22,63.08, -112.03, -25.51, 2.77, 2.37, 13.24, repro,
2010-11-23,63.25, -111.04, -20.07, 2.56, 2.17, 12.28, repro,
2010-11-24,63.95, -111.50, -12.03, 2.48, 2.11, 11.78, repro,
2010-11-25,65.27, -112.55, -21.23, 2.7, 2.27, 12.84, repro,
2010-11-26,62.72, -111.65, -12.59, 2.42, 2.07, 11.6, repro,
2010-11-27,64.62, -111.59, -26.14, 2.69, 2.32, 13.25, repro,
2010-11-28,62.08, -112.65, -7.84, 2.58, 2.32, 12.52, repro,
2010-11-29,63.34, -110.45, -15.54, 2.62, 2.34, 12.76, repro,
2010-11-30,63.40, -110.88, -25.40, 2.56, 2.22, 12.38, repro,
2010-12-01,62.61, -110.88, -16.66, 2.51, 2.18, 12.1, repro,
2010-12-02,63.27, -112.09, -30.22, 2.77, 2.38, 13.19, repro,
2010-12-03,63.52, -111.01, -20.13, 2.66, 2.3, 12.93, repro,
2010-12-04,62.73, -112.88, -18.08, 2.68, 2.31, 13.17, repro,
2010-12-05,64.19, -109.89, -13.69, 2.94, 2.53, 14.09, repro,
2010-12-06,63.05, -111.12, -21.86, 2.84, 2.35, 13.48, repro,
2010-12-07,63.17, -111.16, -26.71, 2.53, 2.15, 12.3, repro,
2010-12-08,62.51, -112.23, -28.10, 2.54, 2.16, 12.33, repro,
2010-12-09,63.27, -111.89, -20.44, 2.63, 2.27, 12.99, repro,
2010-12-10,62.94, -113.41, -15.95, 2.6, 2.26, 12.91, repro,
2010-12-11,63.40, -110.97, -18.53, 2.58, 2.25, 12.65, repro,
2010-12-12,64.44, -110.65, -25.90, 2.61, 2.23, 12.57, repro,
2010-12-13,63.51, -111.68, -28.37, 2.65, 2.25, 13.08, repro,
2010-12-14,61.70, -113.42, -16.50, 2.58, 2.23, 12.66, repro,
2010-12-15,63.48, -112.19, -14.73, 2.46, 2.15, 12.19, repro,
2010-12-16,62.40, -112.52, -22.54, 2.45, 2.15, 12.03, repro,
2010-12-17,63.52, -113.00, -19.32, 2.71, 2.4, 13.27, repro,
2010-12-18,62.97, -114.95, -11.64, 2.49, 2.17, 12.2, repro,
2010-12-19,61.09, -114.33, -14.40, 2.64, 2.33, 13.16, repro,
2010-12-20,62.27, -113.39, -8.55, 2.56, 2.25, 12.74, repro,
2010-12-21,62.97, -114.35, -11.18, 2.39, 2.13, 11.85, repro,
2010-12-22,62.57, -114.32, -12.18, 2.07, 1.86, 10.49, repro,
2010-12-23,64.27, -113.92, -20.81, 2.61, 2.22, 12.57, repro,
2010-12-24,62.63, -113.99, -15.56, 1.93, 1.72, 9.68, repro,
2010-12-25,63.98, -113.46, -19.10, 2.04, 1.81, 10.24, repro,
2010-12-26,62.37, -114.62, -10.81, 2.1, 1.87, 10.65, repro,
2010-12-27,63.33, -112.24, -20.42, 2.02, 1.8, 10.26, repro,
2010-12-28,64.51, -114.87, -17.05, 2.45, 2.13, 12.03, repro,
2010-12-29,65.57, -116.47, -15.05, 2.59, 2.25, 12.56, repro,
2010-12-30,63.99, -113.60, -5.96, 2.42, 2.21, 12.21, repro,
2010-12-31,63.11, -113.81, -10.19, 1.96, 1.75, 9.86, repro,
2011-01-01,64.29, -113.86, -18.55, 2.49, 2.25, 12.91, repro,
2011-01-02,62.32, -114.23, -6.16, 2.61, 2.35, 13.79, repro,
2011-01-03,64.62, -113.75, -19.23, 2.48, 2.23, 12.78, repro,
2011-01-04,64.18, -113.77, -20.79, 2.57, 2.34, 12.82, repro,
2011-01-05,65.00, -113.53, -18.14, 2.36, 2.1, 12.15, repro,
2011-01-06,63.91, -113.63, -21.72, 2.31, 2.06, 11.54, repro,
2011-01-07,62.62, -113.72, -10.68, 2.41, 2.14, 12.23, repro,
2011-01-08,64.15, -114.43, -15.30, 2.53, 2.25, 13.07, repro,
2011-01-09,64.10, -113.60, -20.93, 2.46, 2.19, 12.47, repro,
2011-01-10,64.34, -114.22, -20.30, 2.52, 2.25, 12.78, repro,
2011-01-11,64.94, -115.37, -11.90, 2.64, 2.37, 13.55, repro,
2011-01-12,63.83, -114.26, -14.59, 2.48, 2.17, 11.93, repro,
2011-01-13,65.79, -113.82, -33.98, 2.47, 2.18, 12.17, repro,
2011-01-14,67.91, -113.63, -33.24, 2.66, 2.35, 13.36, repro,
2011-01-15,64.94, -115.83, -20.52, 2.51, 2.19, 12.37, repro,
2011-01-16,65.00, -114.80, -21.37, 2.63, 2.28, 13.06, repro,
2011-01-17,64.25, -114.07, -16.70, 2.5, 2.24, 12.66, repro,
2011-01-18,65.66, -118.79, -15.08, 2.47, 2.2, 12.3, repro,
2011-01-19,63.11, -114.90, -22.75, 2.52, 2.22, 12.63, repro,
2011-01-20,63.19, -116.39, -16.44, 2.5, 2.23, 12.54, repro,
2011-01-21,65.58, -115.62, -17.62, 2.46, 2.14, 12.06, repro,
2011-01-22,64.42, -115.23, -15.11, 2.53, 2.24, 12.79, repro,
2011-01-23,65.50, -116.20, -15.79, 2.72, 2.41, 13.99, repro,
2011-01-24,65.36, -117.12, -20.65, 2.48, 2.2, 12.23, repro,
2011-01-25,64.48, -115.41, -9.69, 2.52, 2.26, 12.65, repro,
2011-01-26,65.77, -114.52, -15.70, 2.6, 2.19, 12.83, repro,
2011-01-27,65.88, -116.29, -16.67, 2.64, 2.36, 13.8, repro,
2011-01-28,64.53, -115.16, -26.29, 2.43, 2.16, 12.14, repro,
2011-01-29,65.36, -116.43, -19.75, 2.35, 2.13, 11.74, repro,
2011-01-30,66.35, -116.39, -16.38, 2.62, 2.33, 13.16, repro,
2011-01-31,65.65, -115.74, -25.58, 2.46, 2.19, 12.42, repro,
2011-02-01,62.48, -118.23, -11.01, 2.38, 2.07, 11.68, repro,
2011-02-02,65.90, -116.20, -27.26, 2.39, 2.11, 12.1, repro,
2011-02-03,66.17, -116.32, -22.65, 2.35, 2.09, 11.73, repro,
2011-02-04,65.29, -116.25, -26.50, 2.38, 2.07, 11.73, repro,
2011-02-05,66.58, -115.13, -25.92, 2.53, 2.23, 12.69, repro,
2011-02-06,65.71, -116.36, -27.53, 2.55, 2.18, 12.6, repro,
2011-02-07,65.88, -115.82, -22.08, 2.47, 2.16, 12.3, repro,
2011-02-08,66.26, -117.53, -26.68, 2.45, 2.14, 12.26, repro,
2011-02-09,65.94, -118.63, -16.62, 2.39, 2.1, 11.85, repro,
2011-02-10,67.61, -117.49, -17.80, 2.41, 2.12, 12.09, repro,
2011-02-11,67.36, -117.50, -22.26, 2.43, 2.09, 11.99, repro,
2011-02-12,67.52, -116.37, -24.36, 2.41, 2.1, 12.07, repro,
2011-02-13,66.80, -117.09, -22.44, 2.44, 2.14, 12.28, repro,
2011-02-14,67.43, -118.26, -18.70, 2.55, 2.2, 12.68, repro,
2011-02-15,68.48, -118.06, -30.68, 2.53, 2.23, 12.51, repro,
2011-02-16,67.34, -119.30, -14.92, 2.62, 2.3, 13.19, repro,
2011-02-17,66.91, -118.07, -17.19, 2.63, 2.31, 13.4, repro,
2011-02-18,65.71, -119.55, -13.26, 2.46, 2.17, 12.3, repro,
2011-02-19,66.16, -120.79, -24.12, 2.49, 2.16, 12.54, repro,
2011-02-20,66.50, -119.37, -20.60, 2.44, 2.11, 12.13, repro,
2011-02-21,66.78, -118.65, -16.01, 2.45, 2.09, 12.11, repro,
2011-02-22,65.83, -119.59, -14.36, 2.43, 2.07, 12.02, repro,
2011-02-23,66.35, -119.87, -18.13, 2.46, 2.1, 11.95, repro,
2011-02-24,66.80, -118.82, -19.65, 2.47, 2.12, 12.16, repro,
2011-02-25,65.97, -120.13, -14.12, 2.46, 2.1, 12.23, repro,
2011-02-26,68.93, -119.06, -15.75, 2.52, 2.14, 12.39, repro,
2011-02-27,65.87, -119.76, -10.88, 2.47, 2.1, 12.37, repro,
2011-02-28,67.19, -119.95, -17.02, 2.51, 2.16, 12.87, repro,
2011-03-01,67.20, -119.80, -22.93, 2.49, 2.11, 12.18, repro,
2011-03-02,65.49, -121.15, -13.91, 2.6, 2.25, 12.99, repro,
2011-03-03,68.57, -120.59, -23.08, 2.56, 2.21, 12.87, repro,
2011-03-04,66.64, -120.87, -20.24, 2.51, 2.21, 12.57, repro,
2011-03-05,67.72, -120.48, -22.06, 3.06, 2.64, 15.89, repro,
2011-03-06,67.89, -120.43, -27.08, 2.61, 2.26, 13.09, repro,
2011-03-07,67.66, -124.30, -20.14, 2.68, 2.26, 13.54, repro,
2011-03-08,68.88, -120.63, -24.35, 2.61, 2.24, 13.06, repro,
2011-03-09,67.35, -120.74, -22.81, 2.55, 2.27, 12.96, repro,
2011-03-10,67.62, -121.92, -18.32, 3, 2.53, 15.59, repro,
2011-03-11,67.47, -120.18, -18.56, 2.78, 2.36, 13.7, repro,
2011-03-12,68.59, -121.26, -22.59, 2.77, 2.39, 14.08, repro,
2011-03-13,68.35, -119.94, -23.66, 2.82, 2.37, 14.38, repro,
2011-03-14,67.64, -121.10, -21.60, 2.73, 2.39, 14.26, repro,
